name;suspiciousness_value
org.jfree.chart.plot$XYPlot#removeDomainMarker(org.jfree.chart.plot.Marker):2232;0.5
org.jfree.chart.plot$XYPlot#removeDomainMarker(org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer):2248;0.5
org.jfree.chart.plot$XYPlot#removeDomainMarker(int,org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer):2265;0.5
org.jfree.chart.plot$XYPlot#removeDomainMarker(int,org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer,boolean):2285;0.5
org.jfree.chart.plot$XYPlot#removeDomainMarker(int,org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer,boolean):2286;0.5
org.jfree.chart.plot$XYPlot#removeDomainMarker(int,org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer,boolean):2293;0.5
org.jfree.chart.plot$XYPlot#removeRangeMarker(org.jfree.chart.plot.Marker):2465;0.5
org.jfree.chart.plot$XYPlot#removeRangeMarker(org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer):2481;0.5
org.jfree.chart.plot$XYPlot#removeRangeMarker(int,org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer):2498;0.5
org.jfree.chart.plot$XYPlot#removeRangeMarker(int,org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer,boolean):2517;0.5
org.jfree.chart.plot$XYPlot#removeRangeMarker(int,org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer,boolean):2521;0.5
org.jfree.chart.plot$XYPlot#removeRangeMarker(int,org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer,boolean):2522;0.5
org.jfree.chart.plot$XYPlot#removeRangeMarker(int,org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer,boolean):2529;0.5
org.jfree.chart.plot$CategoryPlot#removeDomainMarker(org.jfree.chart.plot.Marker):2106;0.5
org.jfree.chart.plot$CategoryPlot#removeDomainMarker(org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer):2122;0.5
org.jfree.chart.plot$CategoryPlot#removeDomainMarker(int,org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer):2139;0.5
org.jfree.chart.plot$CategoryPlot#removeDomainMarker(int,org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer,boolean):2158;0.5
org.jfree.chart.plot$CategoryPlot#removeDomainMarker(int,org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer,boolean):2159;0.5
org.jfree.chart.plot$CategoryPlot#removeDomainMarker(int,org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer,boolean):2166;0.5
org.jfree.chart.plot$CategoryPlot#removeRangeMarker(org.jfree.chart.plot.Marker):2378;0.5
org.jfree.chart.plot$CategoryPlot#removeRangeMarker(org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer):2396;0.5
org.jfree.chart.plot$CategoryPlot#removeRangeMarker(int,org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer):2415;0.5
org.jfree.chart.plot$CategoryPlot#removeRangeMarker(int,org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer,boolean):2436;0.5
org.jfree.chart.plot$CategoryPlot#removeRangeMarker(int,org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer,boolean):2440;0.5
org.jfree.chart.plot$CategoryPlot#removeRangeMarker(int,org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer,boolean):2441;0.5
org.jfree.chart.plot$CategoryPlot#removeRangeMarker(int,org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer,boolean):2448;0.5
org.jfree.chart.plot$CategoryPlot#CategoryPlot():430;0.30151134457776363
org.jfree.chart.plot$CategoryPlot#CategoryPlot():431;0.30151134457776363
org.jfree.chart.plot$Marker#Marker():144;0.2651650429449553
org.jfree.chart.plot$Marker#Marker():145;0.2651650429449553
org.jfree.chart.plot$Marker#Marker(java.awt.Paint):153;0.2651650429449553
org.jfree.chart.plot$Marker#Marker(java.awt.Paint):155;0.2651650429449553
org.jfree.chart.plot$ValueMarker#ValueMarker(double):68;0.2651650429449553
org.jfree.chart.plot$ValueMarker#ValueMarker(double):69;0.2651650429449553
org.jfree.chart.plot$ValueMarker#ValueMarker(double):70;0.2651650429449553
org.jfree.chart.plot$CategoryPlot#getRangeAxis(int):899;0.23570226039551587
org.jfree.chart.plot$CategoryPlot#getRangeAxis(int):900;0.23570226039551587
org.jfree.chart.plot$XYPlot#XYPlot():501;0.22360679774997896
org.jfree.chart.plot$XYPlot#XYPlot():502;0.22360679774997896
org.jfree.chart.plot$CategoryMarker#CategoryMarker(java.lang.Comparable):80;0.20412414523193154
org.jfree.chart.plot$CategoryMarker#CategoryMarker(java.lang.Comparable):81;0.20412414523193154
org.jfree.chart.plot$CategoryMarker#CategoryMarker(java.lang.Comparable,java.awt.Paint,java.awt.Stroke):91;0.17677669529663687
org.jfree.chart.plot$CategoryMarker#CategoryMarker(java.lang.Comparable,java.awt.Paint,java.awt.Stroke):92;0.17677669529663687
org.jfree.chart.plot$CategoryMarker#CategoryMarker(java.lang.Comparable,java.awt.Paint,java.awt.Stroke,java.awt.Paint,java.awt.Stroke,float):107;0.17677669529663687
org.jfree.chart.plot$CategoryMarker#CategoryMarker(java.lang.Comparable,java.awt.Paint,java.awt.Stroke,java.awt.Paint,java.awt.Stroke,float):72;0.17677669529663687
org.jfree.chart.plot$CategoryMarker#CategoryMarker(java.lang.Comparable,java.awt.Paint,java.awt.Stroke,java.awt.Paint,java.awt.Stroke,float):108;0.17677669529663687
org.jfree.chart.plot$CategoryMarker#CategoryMarker(java.lang.Comparable,java.awt.Paint,java.awt.Stroke,java.awt.Paint,java.awt.Stroke,float):109;0.17677669529663687
org.jfree.chart.plot$CategoryMarker#CategoryMarker(java.lang.Comparable,java.awt.Paint,java.awt.Stroke,java.awt.Paint,java.awt.Stroke,float):110;0.17677669529663687
org.jfree.chart.util$Layer#Layer(java.lang.String):69;0.16963778593599418
org.jfree.chart.util$Layer#Layer(java.lang.String):70;0.16963778593599418
org.jfree.chart.util$Layer#Layer(java.lang.String):71;0.16963778593599418
org.jfree.chart.util$Layer#<clinit>():56;0.16963778593599418
org.jfree.chart.util$Layer#<clinit>():59;0.16963778593599418
org.jfree.chart.plot$Marker#Marker(java.awt.Paint,java.awt.Stroke,java.awt.Paint,java.awt.Stroke,float):173;0.16783627165933782
org.jfree.chart.plot$Marker#Marker(java.awt.Paint,java.awt.Stroke,java.awt.Paint,java.awt.Stroke,float):115;0.16783627165933782
org.jfree.chart.plot$Marker#Marker(java.awt.Paint,java.awt.Stroke,java.awt.Paint,java.awt.Stroke,float):175;0.16783627165933782
org.jfree.chart.plot$Marker#Marker(java.awt.Paint,java.awt.Stroke,java.awt.Paint,java.awt.Stroke,float):178;0.16783627165933782
org.jfree.chart.plot$Marker#Marker(java.awt.Paint,java.awt.Stroke,java.awt.Paint,java.awt.Stroke,float):181;0.16783627165933782
org.jfree.chart.plot$Marker#Marker(java.awt.Paint,java.awt.Stroke,java.awt.Paint,java.awt.Stroke,float):185;0.16783627165933782
org.jfree.chart.plot$Marker#Marker(java.awt.Paint,java.awt.Stroke,java.awt.Paint,java.awt.Stroke,float):186;0.16783627165933782
org.jfree.chart.plot$Marker#Marker(java.awt.Paint,java.awt.Stroke,java.awt.Paint,java.awt.Stroke,float):187;0.16783627165933782
org.jfree.chart.plot$Marker#Marker(java.awt.Paint,java.awt.Stroke,java.awt.Paint,java.awt.Stroke,float):188;0.16783627165933782
org.jfree.chart.plot$Marker#Marker(java.awt.Paint,java.awt.Stroke,java.awt.Paint,java.awt.Stroke,float):189;0.16783627165933782
org.jfree.chart.plot$Marker#Marker(java.awt.Paint,java.awt.Stroke,java.awt.Paint,java.awt.Stroke,float):191;0.16783627165933782
org.jfree.chart.plot$Marker#Marker(java.awt.Paint,java.awt.Stroke,java.awt.Paint,java.awt.Stroke,float):192;0.16783627165933782
org.jfree.chart.plot$Marker#Marker(java.awt.Paint,java.awt.Stroke,java.awt.Paint,java.awt.Stroke,float):193;0.16783627165933782
org.jfree.chart.plot$Marker#Marker(java.awt.Paint,java.awt.Stroke,java.awt.Paint,java.awt.Stroke,float):194;0.16783627165933782
org.jfree.chart.plot$Marker#Marker(java.awt.Paint,java.awt.Stroke,java.awt.Paint,java.awt.Stroke,float):195;0.16783627165933782
org.jfree.chart.plot$Marker#Marker(java.awt.Paint,java.awt.Stroke,java.awt.Paint,java.awt.Stroke,float):196;0.16783627165933782
